"","ID","PREMIUM","TIV","BLDG_LIMIT","DED","POSTALCODE","CITY","DISTRICT","COUNTYCODE","COUNTY","STATECODE","STATE","CRESTA","SUBCRESTA","COUNTRY","LATITUDE","LONGITUDE","ADDRMATCH","NUMBLDGS","BLDGSCHEME","BLDGCLASS","OCCSCHEME","OCCTYPE","NUMSTORIES","YEARBUILT","ELEVATION","DISTCOAST","WINDPOOL","NFIP_RATE","NFIPYEAR","ROOFSYS","ROOFGEOM","ROOFANCH","ROOFAGE","CLADSYS","FRAMEBOLT","CLADDING","EQSLINS","LANDSLIDE","LANDCOV","LIQUEFACT","LIQUECOV","SOILTYPE","SOILCOV","SOILPERIOD","SOILTHICKNESS","dis_min","wind_min","wind_speed","Loss"
"44","F102664",10389,1366451,1366451,31167,"33458","JUPITER","","099","PALM BEACH COUNTY","FL","FLORIDA","","","US",26.903686,-80.109246,2,"1","RMS","2","ATC",2,2,"2004","9.8439998626709","2.92305106855106","0","0.100000001490116","1975","9","4","3","3","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",57.671489853636,132.365,35,-41556
"45","A1026843",500,121664,65764,1000,"36401","EVERGREEN","","035","CONECUH COUNTY","AL","ALABAMA",""," ","US",31.43124,-86.95803,2,"1","RMS","1","ATC",1,1,"1975","278.200012207031","58.6085205078125","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",381.410104077617,109.345,35,-1500
"46","A1026867",3000,699732,394586,5000,"63021","BALLWIN","","189","ST. LOUIS COUNTY","MO","MISSOURI","","","US",38.582826,-90.561207,2,"1","RMS","1","ATC",1,1,"2000","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",727.369815108102,103.59,35,-8000
"47","A1026951",950,224782,124952,500,"28227","MINT HILL","","119","MECKLENBURG COUNTY","NC","NORTH CAROLINA","","","US",35.179695,-80.668833,2,"1","RMS","1","ATC",1,1,"1984","723.719970703125","142.558624267578","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",167.407632310746,74.815,35,-1450
"48","A1026974",600,185455,78917,1000,"44203","BARBERTON","","153","SUMMIT COUNTY","OH","OHIO","","","US",41.01003,-81.628956,2,"1","RMS","1","ATC",1,1,"1904","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",533.114687738019,74.815,35,-1600
"49","B10270",42178,2219021,2219020,0,"19122","PHILADELPHIA","","101","PHILADELPHIA COUNTY","PA","PENNSYLVANIA","","37980","US",39.97316,-75.13848,2,"1","RMS","2","NAICS",813910,3,"9999","27.1070003509521","28.1846599578857","0","0.100000001490116","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",339.505001684488,74.815,35,-42178
"50","B102708",250,26831,26831,408,"34119","NAPLES","","021","COLLIER COUNTY","FL","FLORIDA","","","US",26.21852,-81.733095,2,"1","RMS","2","ATC",2,1,"1994","12.0410003662109","5.23679339126455","0","0.100000001490116","1975","5","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",168.072089474741,132.365,35,-658
"52","A1027123",1302,384095,171250,1000,"46220","INDIANAPOLIS","","097","MARION COUNTY","IN","INDIANA","","","US",39.851295,-86.141673,2,"1","RMS","1","ATC",1,1,"1940","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",604.181850503858,74.815,35,-2302
"54","A1027164",1500,283444,197293,1000,"08098","WOODSTOWN","","033","SALEM COUNTY","NJ","NEW JERSEY","","","US",39.655193,-75.331144,2,"1","RMS","1","ATC",1,1,"1990","47.8139991760254","9.68378912306144","0","0.100000001490116","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",320.980826722657,74.815,35,-2500
"56","A1027197",500,136132,65764,1000,"44123","EUCLID","","035","CUYAHOGA COUNTY","OH","OHIO","","","US",41.607562,-81.520813,2,"1","RMS","1","ATC",1,1,"1947","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",569.807059423219,74.815,35,-1500
"57","A1027199",400,132055,52611,500,"71430","FOREST HILL","","079","RAPIDES PARISH","LA","LOUISIANA","","","US",31.054507,-92.460533,2,"1","RMS","1","ATC",1,1,"1965","95.3899993896484","88.4285583496094","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",702.312583094397,109.345,35,-900
"58","F102724",8540,1123223,1123223,25619,"33973","LEHIGH ACRES","","071","LEE COUNTY","FL","FLORIDA","","15980","US",26.60352,-81.73152,2,"1","RMS","2","ATC",2,2,"1997","24.0249996185303","9.24670055300067","0","0.100000001490116","1975","5","4","3","3","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",153.329230166808,120.855,35,-34159
"59","B102737",3617,475731,475731,10851,"34135","BONITA SPRINGS","","071","LEE COUNTY","FL","FLORIDA","","15980","US",26.32669,-81.80048,2,"1","RMS","2","ATC",2,1,"1995","12.0340003967285","2.5654119681537","0","0.100000001490116","1975","5","4","3","3","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",169.379603744524,132.365,35,-14468
"60","F102744",5500,862302,723408,16500,"33317","DAVIE","","011","BROWARD COUNTY","FL","FLORIDA","","33100","US",26.088,-80.23776,2,"1","RMS","2","ATC",2,2,"1996","5.34299993515015","7.98491051242828","0","0.600000023841858","1975","5","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",94.9941592370665,132.365,35,-22000
"62","F102747",5500,862302,723408,16500,"33317","DAVIE","","011","BROWARD COUNTY","FL","FLORIDA","","33100","US",26.08803,-80.23775,2,"1","RMS","2","ATC",2,2,"1996","5.34299993515015","7.98438931711623","0","0.600000023841858","1975","5","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",94.9922057135898,132.365,35,-22000
"63","A1027516",250,46798,30252,500,"03225","CENTER BARNSTEAD","","001","BELKNAP COUNTY","NH","NEW HAMPSHIRE","","29060","US",43.36979,-71.27311,2,"1","RMS","1","ATC",1,1,"1982","637.72998046875","34.8787117004395","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",552.75551001827,74.815,35,-750
"64","A1027580",1015,232207,133502,500,"27705","DURHAM","","063","DURHAM COUNTY","NC","NORTH CAROLINA","","","US",36.027947,-78.962433,2,"1","RMS","1","ATC",1,1,"1967","412.130004882813","121.089729309082","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",160.094034414965,74.815,35,-1515
"65","A1027659",1061,153969,139501,2500,"37072","GOODLETTSVILLE","","165","SUMNER COUNTY","TN","TENNESSEE","","","US",36.387717,-86.733,2,"1","RMS","2","ATC",1,1,"1960","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",468.180317795663,103.59,35,-3561
"66","A1027662",800,215444,105223,1000,"46544","MISHAWAKA","","141","ST. JOSEPH COUNTY","IN","INDIANA","","43780","US",41.66095,-86.19,2,"1","RMS","2","ATC",1,1,"1960","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",697.121602866321,74.815,35,-1800
"71","A1027721",650,121861,85494,1000,"71111","BOSSIER CITY","","015","BOSSIER PARISH","LA","LOUISIANA","","43340","US",32.51634,-93.70107,2,"1","RMS","1","ATC",1,1,"2000","177.729995727539","192.169967651367","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",772.685064032483,103.59,35,-1650
"72","F102778",5100,670796,670796,15300,"33578","RIVERVIEW","","057","HILLSBOROUGH COUNTY","FL","FLORIDA","","","US",27.881026,-82.356309,2,"1","RMS","2","ATC",2,2,"2006","17.0869998931885","2.47272161065356","0","0.100000001490116","1975","7","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",145.56609978579,120.855,35,-20400
"73","B102781",5100,670796,670796,15300,"33578","RIVERVIEW","","057","HILLSBOROUGH COUNTY","FL","FLORIDA","","","US",27.881183,-82.355713,2,"1","RMS","2","ATC",2,2,"2006","17.9650001525879","2.50881055768595","0","0.100000001490116","1975","7","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",145.528377874452,120.855,35,-20400
"74","A1027846",1367,216691,179773,250,"28625","STATESVILLE","","097","IREDELL COUNTY","NC","NORTH CAROLINA","","","US",35.810974,-80.769359,2,"1","RMS","2","ATC",1,1,"1987","820.190002441406","182.1611328125","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",201.630923974808,74.815,35,-1617
"79","F102804",5100,670796,670796,15300,"33578","RIVERVIEW","","057","HILLSBOROUGH COUNTY","FL","FLORIDA","","","US",27.882244,-82.356396,2,"1","RMS","2","ATC",2,2,"2006","17.3889999389648","2.46588697091296","0","0.100000001490116","1975","7","4","3","2","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",145.55779686213,120.855,35,-20400
